County,% bachelor degree,% High school degree,% Households with a broadband Internet,Persons per household
"Coffee County, Georgia",13.0%,75.7%,66.2%,2.71
"Colquitt County, Georgia",12.8%,74.7%,72.0%,2.88
"Columbia County, Georgia",36.4%,92.7%,84.0%,3.18
"Cook County, Georgia",13.5%,79.1%,64.4%,2.74
"Coweta County, Georgia",30.3%,89.2%,85.5%,2.74
"Crawford County, Georgia",10.5%,83.1%,72.4%,2.70
"Crisp County, Georgia",14.1%,82.8%,60.6%,2.60
"Dade County, Georgia",15.2%,80.7%,75.3%,2.40
"Dawson County, Georgia",30.6%,87.2%,85.2%,2.70
"Decatur County, Georgia",13.8%,82.5%,55.4%,2.53
"DeKalb County, Georgia",44.2%,89.3%,85.0%,2.61
"Dodge County, Georgia",14.3%,85.6%,60.6%,2.46
"Dooly County, Georgia",12.1%,77.7%,59.2%,2.47
"Dougherty County, Georgia",21.4%,83.4%,73.4%,2.51
"Douglas County, Georgia",28.2%,87.8%,80.3%,2.89
"Early County, Georgia",15.1%,80.4%,49.1%,2.50
"Echols County, Georgia",9.7%,74.2%,47.4%,2.55
"Effingham County, Georgia",20.0%,88.3%,80.7%,2.84
"Elbert County, Georgia",11.6%,78.4%,60.0%,2.50
"Emanuel County, Georgia",13.0%,78.6%,69.3%,2.58
"Evans County, Georgia",15.8%,76.2%,69.1%,2.53
"Fannin County, Georgia",21.8%,86.6%,83.2%,2.42
"Fayette County, Georgia",46.2%,95.3%,90.1%,2.77
"Floyd County, Georgia",20.9%,82.4%,77.8%,2.61
"Forsyth County, Georgia",53.1%,93.0%,93.8%,2.97
"Franklin County, Georgia",15.9%,82.3%,68.0%,2.62
"Fulton County, Georgia",52.9%,92.6%,85.6%,2.44
"Gilmer County, Georgia",20.4%,81.7%,76.8%,2.51
"Glascock County, Georgia",11.6%,78.2%,65.6%,2.63
"Glynn County, Georgia",29.9%,88.1%,77.9%,2.43
"Gordon County, Georgia",14.7%,77.9%,72.3%,2.75
"Grady County, Georgia",13.9%,80.1%,70.3%,2.70
"Greene County, Georgia",26.9%,85.3%,71.5%,2.40
"Gwinnett County, Georgia",36.9%,87.7%,88.6%,3.10
"Habersham County, Georgia",19.3%,79.6%,71.0%,2.80
"Hall County, Georgia",24.5%,79.1%,85.8%,3.06
"Hancock County, Georgia",8.6%,74.2%,47.7%,2.03
"Haralson County, Georgia",14.8%,81.2%,76.9%,2.56
"Harris County, Georgia",31.4%,92.2%,83.2%,2.76
"Hart County, Georgia",15.7%,81.5%,70.1%,2.52
"Heard County, Georgia",8.7%,79.7%,71.5%,2.57
"Henry County, Georgia",28.5%,91.2%,88.4%,2.95
"Houston County, Georgia",28.3%,91.6%,83.6%,2.66
"Irwin County, Georgia",15.1%,81.5%,62.0%,2.75
"Jackson County, Georgia",22.7%,84.1%,79.3%,2.89
"Jasper County, Georgia",14.2%,82.8%,73.3%,2.67
"Jeff Davis County, Georgia",10.3%,79.3%,61.3%,2.82
"Jefferson County, Georgia",9.9%,76.4%,60.3%,2.66
"Jenkins County, Georgia",7.9%,79.3%,57.3%,2.53
"Johnson County, Georgia",9.1%,75.1%,60.0%,2.68
"Jones County, Georgia",19.6%,89.1%,79.0%,2.65
"Lamar County, Georgia",15.8%,87.0%,71.0%,2.69
"Lanier County, Georgia",16.5%,80.0%,56.8%,2.71
"Laurens County, Georgia",16.2%,85.9%,60.2%,2.71
"Lee County, Georgia",25.4%,90.9%,84.0%,2.78
"Liberty County, Georgia",18.3%,90.7%,87.0%,2.53
"Lincoln County, Georgia",15.9%,82.1%,53.2%,2.23
"Long County, Georgia",17.4%,87.7%,80.8%,3.26
"Lowndes County, Georgia",25.3%,86.6%,66.1%,2.69
"Lumpkin County, Georgia",26.4%,84.8%,81.3%,2.67
"McDuffie County, Georgia",8.8%,73.6%,59.3%,2.40
"McIntosh County, Georgia",18.5%,83.2%,73.7%,2.70
"Macon County, Georgia",13.4%,77.8%,55.9%,2.45
"Madison County, Georgia",14.0%,83.4%,64.8%,2.59
"Marion County, Georgia",17.6%,85.2%,72.3%,2.33
"Meriwether County, Georgia",10.4%,79.7%,60.0%,2.58
"Miller County, Georgia",14.0%,82.6%,48.0%,2.40
"Mitchell County, Georgia",9.7%,77.2%,68.5%,2.50
"Monroe County, Georgia",26.8%,85.7%,77.6%,2.67
"Montgomery County, Georgia",16.0%,81.7%,75.7%,2.66
"Morgan County, Georgia",20.7%,87.7%,76.5%,2.64
"Murray County, Georgia",10.1%,70.7%,77.5%,2.74
"Muscogee County, Georgia",25.8%,88.0%,78.4%,2.59
"Newton County, Georgia",19.8%,86.6%,85.5%,2.88
"Oconee County, Georgia",52.3%,94.5%,89.5%,2.82
"Oglethorpe County, Georgia",17.1%,79.7%,65.7%,2.62
"Paulding County, Georgia",22.6%,89.4%,85.6%,2.99
"Peach County, Georgia",20.5%,83.0%,74.2%,2.49
"Pickens County, Georgia",23.1%,85.3%,85.7%,2.62
"Pierce County, Georgia",12.6%,83.4%,64.1%,2.71
"Pike County, Georgia",17.1%,88.2%,77.1%,2.94
"Polk County, Georgia",13.7%,78.8%,74.5%,2.77
"Pulaski County, Georgia",13.2%,81.1%,70.6%,2.62
"Putnam County, Georgia",23.4%,87.6%,75.7%,2.41
"Quitman County, Georgia",7.1%,64.7%,54.5%,2.72
"Rabun County, Georgia",24.2%,84.8%,73.7%,2.43
"Randolph County, Georgia",10.3%,74.5%,70.9%,2.66
"Richmond County, Georgia",21.4%,84.1%,75.8%,2.69
"Rockdale County, Georgia",26.3%,88.8%,81.7%,2.86
"Schley County, Georgia",13.3%,87.6%,72.5%,2.80
"Screven County, Georgia",15.4%,83.5%,71.1%,2.66
"Seminole County, Georgia",16.2%,86.0%,62.7%,2.44
"Spalding County, Georgia",17.8%,81.9%,69.5%,2.63
"Stephens County, Georgia",21.0%,82.1%,69.2%,2.62
"Stewart County, Georgia",12.2%,68.1%,61.6%,2.26
"Sumter County, Georgia",18.3%,81.4%,67.5%,2.43
"Talbot County, Georgia",12.1%,82.3%,56.0%,2.24
"Taliaferro County, Georgia",8.1%,71.0%,49.1%,2.71
"Tattnall County, Georgia",13.2%,75.8%,72.8%,2.31
"Taylor County, Georgia",12.6%,78.5%,61.4%,2.30
"Telfair County, Georgia",8.6%,70.3%,34.8%,2.74
"Terrell County, Georgia",11.2%,77.5%,72.1%,2.47
"Thomas County, Georgia",24.7%,84.9%,79.0%,2.49
"Tift County, Georgia",18.1%,81.9%,64.7%,2.54
"Toombs County, Georgia",16.2%,80.1%,71.2%,2.65
"Towns County, Georgia",30.1%,89.9%,76.8%,2.20
"Treutlen County, Georgia",12.4%,73.7%,63.9%,2.53
"Troup County, Georgia",19.0%,83.4%,73.1%,2.74
"Turner County, Georgia",11.7%,81.2%,62.9%,2.39
"Twiggs County, Georgia",11.8%,74.2%,59.8%,2.68
"Union County, Georgia",22.5%,89.0%,75.3%,2.33
"Upson County, Georgia",13.4%,82.3%,69.1%,2.53
"Walker County, Georgia",16.6%,82.0%,77.5%,2.60
"Walton County, Georgia",21.7%,86.9%,82.2%,2.86
"Ware County, Georgia",15.2%,81.4%,67.4%,2.39
"Warren County, Georgia",12.3%,73.2%,46.5%,2.32
"Washington County, Georgia",12.3%,81.3%,63.1%,2.46
"Wayne County, Georgia",13.0%,83.4%,73.7%,2.66
"Webster County, Georgia",14.7%,79.3%,63.7%,2.29
"Wheeler County, Georgia",13.6%,80.8%,39.9%,4.14
"White County, Georgia",22.7%,85.2%,74.6%,2.49
"Whitfield County, Georgia",15.7%,69.5%,80.2%,2.88
"Wilcox County, Georgia",12.2%,82.1%,55.0%,2.61
"Wilkes County, Georgia",13.8%,83.7%,47.7%,2.45
"Wilkinson County, Georgia",10.9%,84.4%,58.9%,2.80
"Worth County, Georgia",11.0%,82.9%,69.9%,2.54
